LOC_ID
LOC_Os02g05970
LOC_Os04g52280
LOC_Os04g56780
LOC_Os06g40780
LOC_Os07g08840














































































































































































